Rank,County,Per capita income,Median household income,Median Family Income,Population,Number of households
1,Dallas,"$33,051 ","$67,037 ","$84,018 ","66,135","25,240"
2,Dickinson,"$29,459 ","$50,174 ","$59,648 ","16,667","7,554"
